project_id,project_name,lat,lng
1,Bairasiul Power Station,32.809316,76.141228
2,Chamera III,32.47277778,76.43833333
3,Chutak Power Station,34.458553,76.074433
4,Nimmo Bazgo Power Station,34.215187,77.184514
5,Kishanganga Power Station,34.64901941,74.75174678
6,Sewa II Power Station,32.4735,75.4917
7,Dhauliganga Power Station,29.97833333,80.57416667
8,Rangit Power Station,27.29,88.29
9,Subansiri Lower HE Project,27.55306235,94.25867115
10,Parbati II HE Project,31.99833333,77.45055556
11,Kiru HE Project,33.34610929,75.95544361
12,Pakal Dul Hydro Electric Project,33.384383,75.7804902
13,Rangit-IV HEP,27.1599656,88.2896411
14,Teesta-VI HEP,27.241366,88.4744963
15,Tanakpur Power Station,29.05603811,80.11781366
16,Ratle HEP,33.18183914,75.80558806
17,Dulhasti Power Station,33.3,75.75
18,Kwar HEP,33.33,76
19,TLD-III POWER STATION,27.001,88.4427
20,Chamera-I,32.355,75.5909
21,TLD-IV POWER STATION,26.92,88.45
22,Uri Power Station,34.1444,74.18545
23,Parbati-III(Niharni),31.778583,77.326286
24,Salal Ramban,33.14298612,74.81106633
25,Chamera II,32.47,76.25
26,TEESTA V POWER STATION,27.4,88.5
27,Sawalkote,33.2,75
28,Teesta III,27.3516,88.3239
29,URI-II POWER STATION,34.0921,74.0318
